===================================================================================================
Airport name: Sofia Flights Number: 200
	Airline: SwissInternational Nationality Swiss Flights Count: 165
		Planes:
		Brand: Cessna Flight Hours: 4000 Destination Count: 13
		Brand: Cessna Flight Hours: 450 Destination Count: 17
		Brand: Airbus Flight Hours: 8000 Destination Count: 0
		Brand: Boeing Flight Hours: 12000 Destination Count: 15
		Brand: Cessna Flight Hours: 2500 Destination Count: 25
		Brand: Embraer Flight Hours: 19000 Destination Count: 15
		Brand: Embraer Flight Hours: 15000 Destination Count: 18
		Brand: Boeing Flight Hours: 1500 Destination Count: 29
		Brand: Airbus Flight Hours: 1000 Destination Count: 6
		Brand: Airbus Flight Hours: 10500 Destination Count: 24
		Brand: Embraer Flight Hours: 1800 Destination Count: 20
		Brand: Embraer Flight Hours: 18000 Destination Count: 12
		Brand: Bombardier Flight Hours: 9500 Destination Count: 23
		Brand: Embraer Flight Hours: 1700 Destination Count: 0
		Brand: Cessna Flight Hours: 6000 Destination Count: 29
		Brand: Cessna Flight Hours: 5000 Destination Count: 2
		Brand: Boeing Flight Hours: 15000 Destination Count: 20
		Brand: Cessna Flight Hours: 5000 Destination Count: 4
		Brand: Bombardier Flight Hours: 10000 Destination Count: 13
		Brand: Boeing Flight Hours: 17000 Destination Count: 26


		Destinations:
		Destination: Abu Dhabi Flights: 3
		Destination: Accra Flights: 9
		Destination: Athens Flights: 30
		Destination: Auckland Flights: 23
		Destination: Barcelona Flights: 17
		Destination: Cairo Flights: 16
		Destination: Cairo Flights: 10
		Destination: Cairo Flights: 21
		Destination: Colombo Flights: 17
		Destination: Dhaka Flights: 11
		Destination: Helsinki Flights: 11
		Destination: Hong Kong Flights: 16
		Destination: Istanbul Flights: 26
		Destination: Karachi Flights: 12
		Destination: Kuala Lumpur Flights: 19
		Destination: Kuala Lumpur Flights: 14
		Destination: Lahore Flights: 15
		Destination: Manama Flights: 22
		Destination: Mexico City Flights: 8
		Destination: Miami Flights: 24
		Destination: Munich Flights: 27
		Destination: Nadi Flights: 6
		Destination: New York Flights: 26
		Destination: New York Flights: 19
		Destination: Nuuk Flights: 9
		Destination: Nuuk Flights: 15
		Destination: Papeete Flights: 11
		Destination: Phnom Penh Flights: 11
		Destination: Seoul Flights: 9
		Destination: St. Petersburg Flights: 0
		Destination: St. Petersburg Flights: 16
		Destination: Tokyo Flights: 13
		Destination: Vancouver Flights: 12
		Destination: Varna Flights: 4
		Destination: Varna Flights: 0
		Destination: Wellington Flights: 23
		Destination: Yangon Flights: 19
		Destination: Yangon Flights: 19
		Destination: Zurich Flights: 18
		Destination: Zurich Flights: 30
	Airline: Lufthansa Nationality German Flights Count: 101
		Planes:
		Brand: Airbus Flight Hours: 1200 Destination Count: 5
		Brand: Boeing Flight Hours: 12500 Destination Count: 21
		Brand: Bombardier Flight Hours: 850 Destination Count: 30
		Brand: Boeing Flight Hours: 15000 Destination Count: 15
		Brand: Cessna Flight Hours: 450 Destination Count: 7
		Brand: Boeing Flight Hours: 16000 Destination Count: 12
		Brand: Airbus Flight Hours: 1300 Destination Count: 1
		Brand: Bombardier Flight Hours: 6500 Destination Count: 29
		Brand: Bombardier Flight Hours: 10000 Destination Count: 0
		Brand: Boeing Flight Hours: 13000 Destination Count: 26
		Brand: Airbus Flight Hours: 1300 Destination Count: 1
		Brand: Boeing Flight Hours: 16000 Destination Count: 12
		Brand: Airbus Flight Hours: 1400 Destination Count: 1
		Brand: Cessna Flight Hours: 4000 Destination Count: 12
		Brand: Cessna Flight Hours: 2500 Destination Count: 4
		Brand: Bombardier Flight Hours: 6000 Destination Count: 14
		Brand: Boeing Flight Hours: 15000 Destination Count: 11
		Brand: Cessna Flight Hours: 5000 Destination Count: 30
		Brand: Cessna Flight Hours: 4000 Destination Count: 12
		Brand: Boeing Flight Hours: 12000 Destination Count: 5


		Destinations:
		Destination: Abu Dhabi Flights: 1
		Destination: Amman Flights: 10
		Destination: Anchorage Flights: 11
		Destination: Anchorage Flights: 25
		Destination: Barcelona Flights: 20
		Destination: Brussels Flights: 30
		Destination: Bucharest Flights: 6
		Destination: Buenos Aires Flights: 11
		Destination: Burgas Flights: 24
		Destination: Burgas Flights: 21
		Destination: Delhi Flights: 9
		Destination: Helsinki Flights: 3
		Destination: Jakarta Flights: 14
		Destination: Kathmandu Flights: 23
		Destination: Kuwait City Flights: 5
		Destination: Lagos Flights: 28
		Destination: Lagos Flights: 26
		Destination: Lagos Flights: 30
		Destination: Lisbon Flights: 22
		Destination: Lisbon Flights: 16
		Destination: Madrid Flights: 17
		Destination: Manama Flights: 18
		Destination: Manama Flights: 5
		Destination: Miami Flights: 19
		Destination: Miami Flights: 16
		Destination: Munich Flights: 17
		Destination: Nadi Flights: 12
		Destination: Nadi Flights: 23
		Destination: New York Flights: 12
		Destination: Reykjavik Flights: 19
		Destination: Saipan Flights: 6
		Destination: St. Petersburg Flights: 12
		Destination: Taipei Flights: 10
		Destination: Tokyo Flights: 27
		Destination: Varna Flights: 17
		Destination: Vientiane Flights: 23
		Destination: Vientiane Flights: 4
		Destination: Warsaw Flights: 1
		Destination: Warsaw Flights: 18
		Destination: Zurich Flights: 11
	Airline: SwissInternational Nationality Swiss Flights Count: 178
		Planes:
		Brand: Cessna Flight Hours: 4000 Destination Count: 13
		Brand: Cessna Flight Hours: 450 Destination Count: 17
		Brand: Airbus Flight Hours: 8000 Destination Count: 0
		Brand: Boeing Flight Hours: 12000 Destination Count: 15
		Brand: Cessna Flight Hours: 2500 Destination Count: 25
		Brand: Embraer Flight Hours: 19000 Destination Count: 15
		Brand: Embraer Flight Hours: 15000 Destination Count: 18
		Brand: Boeing Flight Hours: 1500 Destination Count: 29
		Brand: Airbus Flight Hours: 1000 Destination Count: 6
		Brand: Airbus Flight Hours: 10500 Destination Count: 24
		Brand: Embraer Flight Hours: 1800 Destination Count: 20
		Brand: Embraer Flight Hours: 18000 Destination Count: 12
		Brand: Bombardier Flight Hours: 9500 Destination Count: 23
		Brand: Embraer Flight Hours: 1700 Destination Count: 0
		Brand: Cessna Flight Hours: 6000 Destination Count: 29
		Brand: Cessna Flight Hours: 5000 Destination Count: 2
		Brand: Boeing Flight Hours: 15000 Destination Count: 20
		Brand: Cessna Flight Hours: 5000 Destination Count: 4
		Brand: Bombardier Flight Hours: 10000 Destination Count: 13
		Brand: Boeing Flight Hours: 17000 Destination Count: 26


		Destinations:
		Destination: Abu Dhabi Flights: 3
		Destination: Accra Flights: 9
		Destination: Athens Flights: 30
		Destination: Auckland Flights: 23
		Destination: Barcelona Flights: 17
		Destination: Cairo Flights: 16
		Destination: Cairo Flights: 10
		Destination: Cairo Flights: 21
		Destination: Colombo Flights: 17
		Destination: Dhaka Flights: 11
		Destination: Helsinki Flights: 11
